obj_id,title,dates,dc_type,silver_tier,era,all_tokens,ddb_link
HFVTJXBXOIQPO3MMNLX5GLYLD6CWAC4F,"16-30, Deutschlands sittliche Sendung - Bismark",1915,Kapitel,0,modern,9,https://www.deutsche-digitale-bibliothek.de/item/HFVTJXBXOIQPO3MMNLX5GLYLD6CWAC4F
N3SUQQODAB34LDIBJLPIOSKKWERT3IVB,Warhaffte abbildung deß fläckens Plurs/ in den Grawen Pündten gelägen,1618,Einblattdruck|Monografie,0,pre-1700,11,https://www.deutsche-digitale-bibliothek.de/item/N3SUQQODAB34LDIBJLPIOSKKWERT3IVB
JGYQIPUOZYBF6HZNF7ORAZZD3Y2MFXR6,Die hundert und sieben und vierzigste Predigt,1672,Kapitel,0,pre-1700,7,https://www.deutsche-digitale-bibliothek.de/item/JGYQIPUOZYBF6HZNF7ORAZZD3Y2MFXR6
24XU7HCNMMSZXTFVXO32GQHAOYWCZ5UU,Zur Frage der heimatlich gefärbten Aussprache : 1. Beilage zu Nr. 28 der Pädagogischen Reform,1904,Aufsatz,1,modern,15,https://www.deutsche-digitale-bibliothek.de/item/24XU7HCNMMSZXTFVXO32GQHAOYWCZ5UU
MY3Y74SJX6PIPZ5Z76ZHNUZ2MP7JLRMV,"Da ad Rescriptum des Forst-Departements E. Hohen General-Directorii an die Königl. General- Accise- und Zoll-Administration vom 11ten hujus vermuthet wird, als wenn einige Zoll-Aemter auf das nach Hamburg für Rechnung der Particulier Kaufleute gehende Nutzholz nicht genau genug attendiren und den Angaben der Kaufleute zu viel Glauben beymessen ... : Berlin, den 20sten Januar 1779.",1779,Verordnung|Einblattdruck|Monografie,1,1700-1800,58,https://www.deutsche-digitale-bibliothek.de/item/MY3Y74SJX6PIPZ5Z76ZHNUZ2MP7JLRMV
4FRUKZNYSPWOAH27M2SAZWCJPWTICOK7,Ein Erbermli=||che vñ Erschröckliche newe || Zeittung/ von einẽ Fünff jerigen Kind || so im Stettlein Hohen Elbe/ vnter dem || Herrn Wilhelm Mirskowzky/ geboren || ist worden/ da Gott sein gerechtes Vr=||theil vber dises Kindt gesandt hat/ das || es vom Hellischen Fewer angezündet/|| ... der bœsen Welt zum ab=||schrecken/ vom Fluchen vnd || Füllerey.|| Jm Thon.|| Kompt her zu mir ... ||,1579,Lied|Monografie,0,pre-1700,70,https://www.deutsche-digitale-bibliothek.de/item/4FRUKZNYSPWOAH27M2SAZWCJPWTICOK7
RSTH6YNOY5WVAVXUZPLEVITAQQTNAWCZ,Die Zahlungsschwierigkeiten in Hamburg im 2. Halbjahr 1964 : Lfd. Nr. 1,1965,Heft,1,modern,13,https://www.deutsche-digitale-bibliothek.de/item/RSTH6YNOY5WVAVXUZPLEVITAQQTNAWCZ
6NHEDMWKXAHVBTWFGPLH4GNWV6HZIULR,Glaubwirdig Abschrift Römischer Kayserlicher Mayestat Edicts vnd Mandats wider den Lüther vnd sein Anhennger,1524,Monografie,0,pre-1700,14,https://www.deutsche-digitale-bibliothek.de/item/6NHEDMWKXAHVBTWFGPLH4GNWV6HZIULR
AXAVP4IB7N2ZBGPSY7VNE2H3P3UM4UVW,"Die selige Verfassung derer, welche des Todes der Gerechten sterben, wurde bey dem öffentlichen Leichenbegängnisse des ... Herrn Johann Conrad Sievers, angesehenen Bürgers, Kauf- und Handelsmanns und Materialisten zu Helmstädt ... den 24 May, 1772 ... in einer Gedächtnißpredigt vorgestellet von D. Johann Friedrich Rehkopf ... der Kirche zu St. Stephan Pastor primarius und der Diöces Generalsuperintendenten",1772,Leichenpredigt|Monografie,0,1700-1800,62,https://www.deutsche-digitale-bibliothek.de/item/AXAVP4IB7N2ZBGPSY7VNE2H3P3UM4UVW
73XCY36XL3F4VNE523RSUNAAVUCWUPOI,"Wanderungen eines alten Soldaten. 3, Aus Spaniens Bürgerkrieg : 1833-1840",1851,Band,1,19th-c,14,https://www.deutsche-digitale-bibliothek.de/item/73XCY36XL3F4VNE523RSUNAAVUCWUPOI
