obj_id,title,dates,dc_type,silver_tier,era,ddb_link
N3SUQQODAB34LDIBJLPIOSKKWERT3IVB,Warhaffte abbildung deß fläckens Plurs/ in den Grawen Pündten gelägen,1618,Einblattdruck|Monografie,0,pre-1700,https://www.deutsche-digitale-bibliothek.de/item/N3SUQQODAB34LDIBJLPIOSKKWERT3IVB
JGYQIPUOZYBF6HZNF7ORAZZD3Y2MFXR6,Die hundert und sieben und vierzigste Predigt,1672,Kapitel,0,pre-1700,https://www.deutsche-digitale-bibliothek.de/item/JGYQIPUOZYBF6HZNF7ORAZZD3Y2MFXR6
4FRUKZNYSPWOAH27M2SAZWCJPWTICOK7,Ein Erbermli=||che vñ Erschröckliche newe || Zeittung/ von einẽ Fünff jerigen Kind || so im Stettlein Hohen Elbe/ vnter dem || Herrn Wilhelm Mirskowzky/ geboren || ist worden/ da Gott sein gerechtes Vr=||theil vber dises Kindt gesandt hat/ das || es vom Hellischen Fewer angezündet/|| ... der bœsen Welt zum ab=||schrecken/ vom Fluchen vnd || Füllerey.|| Jm Thon.|| Kompt her zu mir ... ||,1579,Lied|Monografie,0,pre-1700,https://www.deutsche-digitale-bibliothek.de/item/4FRUKZNYSPWOAH27M2SAZWCJPWTICOK7
6NHEDMWKXAHVBTWFGPLH4GNWV6HZIULR,Glaubwirdig Abschrift Römischer Kayserlicher Mayestat Edicts vnd Mandats wider den Lüther vnd sein Anhennger,1524,Monografie,0,pre-1700,https://www.deutsche-digitale-bibliothek.de/item/6NHEDMWKXAHVBTWFGPLH4GNWV6HZIULR
NQCZV4AJ4MBVWXV2JRCDFUXBVNSLI6TJ,"Christliche Leichpredigt/ Bey dem Begräbnuß der Ehrbarn/ Ehren/ und vieltugentsamen Frawen Dorotheen, Des ... Friderici Balduini, der H. Schrifft Doctoris, bey der löblichen Universitet Wittenberg vornehmen Professoris, der Theologischen Facultet Senioris, auch Pfarrherr/ unnd Superintendenten daselbsten/ Ehelichen geliebten Hauß-Frawen : Welche Freytags den 4, Tag Octobris frühe umb 2. Uhr ... entschlaffen/ und den folgenden XVI. Sontag nach Trinitatis, welcher war der 6. Octobris, in ihr Ruhebetlein ist versetzet worden",1622,Leichenpredigt|Monografie,0,pre-1700,https://www.deutsche-digitale-bibliothek.de/item/NQCZV4AJ4MBVWXV2JRCDFUXBVNSLI6TJ
3NX3SFM765PPUOIWSH5B7JLFKJSKUEG4,Treuhertzige Warnung/ vor dem verführischen Geist der neuen Schwärmer/ Offenbarungs-Träumer und falschen Propheten,1692,Streitschrift:theol.|Monografie,0,pre-1700,https://www.deutsche-digitale-bibliothek.de/item/3NX3SFM765PPUOIWSH5B7JLFKJSKUEG4
GY6INS3PZINXZPELE4FP4ISIBNCWO2SN,"Abschiedt, So in Namen und von wegen Der Röm: Kayserl: auch zu Hungaren und Böhmen Königl: May: unsers allergnädigsten Herrn, Zwischen ... Herrn Ambrosio Spinola, Marggraffen zu Sesto ... an einem, Unnd dann ... Herrn Moritzen, Landgraffen zu Hessen ... am andern Theil, in der Churfürstlichen Stadt Bingen den 26. Martii (5. April,) verfasset und geschlossen worden",1621,Monografie,0,pre-1700,https://www.deutsche-digitale-bibliothek.de/item/GY6INS3PZINXZPELE4FP4ISIBNCWO2SN
K72M3WADIENAV7ESMOY3RBVF7OKSLQC2,Ain neues lied gemachet durch Pamphilum genge[n]||bach/ zů lob dem al[l]er hochgebornsten/ großmächtigosten. Karolo/ erwölter römisch||en Künig. Künig in Hyspanien/ Vngern/ Granaten/ Napels. [et]c. Ein geborner Ertz||hertzog in Osterreych/ Hertzog von Burgund. [et]c.|| : Ir churfürsten all gemaine. ...,1519,Lied|Einblattdruck|Monografie,0,pre-1700,https://www.deutsche-digitale-bibliothek.de/item/K72M3WADIENAV7ESMOY3RBVF7OKSLQC2
JB5T7M47ZZRCYMUILZMTSGRNUZQYX5B3,Bogenberg/ Unser lieben Frawen Gottshauß/ in deß Durchleuchtigen/ Hochgebornen Fürsten und Herrn/ Herrn Maximiliani/ Pfaltzgrafen bey Rhein/ Hertzog in Obern unnd Nidern Beyrn [et]c. Landt/ Regenspurger Bistumbs gelegen. Was für mercklicher Gnaden und Wunderzeichen/ daselbsten nun etlich Jahr her/ auß Fürbitt Marie der Mutter Gottes geschehen seyndt : Jetzt aber vonn Andächtiger Leut Bitt wegen/ Der Ehrwürdig in Gott Vatter unnd Herr/ Herr Christoff Abbt zu Oberaltäch/ als Oberster Pfarrherr ermelten Gottshauß zu trucken vergunt hat,1602,Monografie,0,pre-1700,https://www.deutsche-digitale-bibliothek.de/item/JB5T7M47ZZRCYMUILZMTSGRNUZQYX5B3
GTVDNV4QWTLXFU45Z4WUCQLPJVPTKDU2,Eine kurtze einfeltige doch Christliche Leichpredigt uber den kurtzen Spruch des H. und gedültigen Hiobs aus seinem Buch am 14. Capitel ... : Bey dem Begräbnüs Des Edlen Tugentsamen zarten Rößleins Annaemariae Des ... Johan Friedrichs von Oppen ... Und der Edlen Tugendreichen Jungfrawen/ Hedwigen/ beider Adelichen Eheleuten liebes zartes Töchterlein ... welches den 1. Martii allhier zu Friederßdorff an den Masern gestorben/ und den 6. Martii ist ... begraben worden ihres alters im 4. Jahr/ etc.,1610,Leichenpredigt|Monografie,0,pre-1700,https://www.deutsche-digitale-bibliothek.de/item/GTVDNV4QWTLXFU45Z4WUCQLPJVPTKDU2
ARMT3JH6GQDCJA3VOFPZIVNCCQFFII6L,"Marsilianische Historia :Summarischer bericht dessen, so sich mit, ... der Statt Marsilia, inn disem noch wehrenden Krieg, zwischen Heinrico dem IIII. diß namens, Koenig inn Franckreich vnd Nauarra, auch Philippo dem Koenig in Hispania, zugetragen, wie auch endtlich angeregte Stat, auff den 17. tag des monats Februarij, ... durch den Hertzogen von Guysa eingenom[m]en ...",1596,Monografie,0,pre-1700,https://www.deutsche-digitale-bibliothek.de/item/ARMT3JH6GQDCJA3VOFPZIVNCCQFFII6L
H5ZFSJUCCI33FK7QLAZEAH5PMOQISUQE,"Das VII. Capitel. Von Aussen-Wercken in specie, das ist/ von allerhand Ravelinen/ halben Monden/ Contraguarden, Tenaillen, Horn- und Corn-Wercken/ sowohl nach der courantesten Holländischen und Französischen Manier/ als auch nach den heut-tägigen Verbesserungen unterschiedlicher Ingenieurs.",1687,Kapitel,0,pre-1700,https://www.deutsche-digitale-bibliothek.de/item/H5ZFSJUCCI33FK7QLAZEAH5PMOQISUQE
DMGTNTQ2Y56T7QTTQH4WCXR5WLRCYIFB,Warnunge D. Martini Lutheri/ an seine lieben Teutschen.,1599,Abschnitt,0,pre-1700,https://www.deutsche-digitale-bibliothek.de/item/DMGTNTQ2Y56T7QTTQH4WCXR5WLRCYIFB
ZJZBTIG5AZ6EJ2D5KH4P6PHK3D5V77EI,Das Buch der Richter.,1607,Abschnitt,0,pre-1700,https://www.deutsche-digitale-bibliothek.de/item/ZJZBTIG5AZ6EJ2D5KH4P6PHK3D5V77EI
BZKSM47DCHH2BCWWEDTMGAHH676GHF7G,"Gründliche Beschreibung Des Kunstbaren Orgelwercks und Grossen Fasses Auff dem Hausz Grüningen : Welche auff Befehlich des ... Henrici Iulii, Postulirten Bischoff des Stiffts Halberstadt/ und Hertzog zu Braunschweig und Lüneburg/ &c. von Anno 93. biß 98. gebawet worden",1643,Monografie,0,pre-1700,https://www.deutsche-digitale-bibliothek.de/item/BZKSM47DCHH2BCWWEDTMGAHH676GHF7G
Z5WJLSF2JYWEGEVQCAFK6Q2BW67RCQU3,Von zeitlichen Guetern,1553,Kapitel,0,pre-1700,https://www.deutsche-digitale-bibliothek.de/item/Z5WJLSF2JYWEGEVQCAFK6Q2BW67RCQU3
GNBRNGEQT3BBMWIOSWPLUAVSMDAYZ33W,"Diaskepsis Theologica, Das ist: Christliche Leichpredigt/ In welcher der 42. Psalm bey Volckreicher Versamlung/ als die Erbare und Tugendsame Frau und bekandte Bürgerin Odilia Hornungs/ Des ... Herrn Johann Ackermannes ... Ehegattin/ Nachdem sie den 23. Aprilis ... war eingeschlaffen/ Den 28. eiusdem ... begraben worden/ Erkläret ...",1658,Leichenpredigt|Monografie,0,pre-1700,https://www.deutsche-digitale-bibliothek.de/item/GNBRNGEQT3BBMWIOSWPLUAVSMDAYZ33W
FQJSEVETBARZRJY6MSLVHDAXCYJNWCNN,"1v-2v, Copia Allerunterthänigsten Intercession-Schreibens ...",1649,Kapitel,0,pre-1700,https://www.deutsche-digitale-bibliothek.de/item/FQJSEVETBARZRJY6MSLVHDAXCYJNWCNN
5MKXWXINEDRXOSKVTLRI2DQOQ6SFFXAX,Der Lxvj. Deus Misereatur|| : Es wolt vnß Gott genedig sein/ vnd seynen segen ge||ben/ ...,1524,Lied|Einblattdruck|Monografie,0,pre-1700,https://www.deutsche-digitale-bibliothek.de/item/5MKXWXINEDRXOSKVTLRI2DQOQ6SFFXAX
DPJQRI7NKRBS4QFCDTOJ6IENA2N3S7HW,Christliches Ehren-Gedächtnüß Des weyland WohlEhrwürdigen/ Großachtbaren und Hochwohlgelahrten/ Herrn M. Johann Caspar Schadens ...,1698,Leichenpredigt|Monografie,0,pre-1700,https://www.deutsche-digitale-bibliothek.de/item/DPJQRI7NKRBS4QFCDTOJ6IENA2N3S7HW
