era,dc_type,count,era_total,pct
1700-1800,Monografie,104394,155611,67.09
1700-1800,Verordnung,3054,155611,1.96
1700-1800,Gelegenheitsschrift:Tod,1659,155611,1.07
1700-1800,Widmung,1578,155611,1.01
1700-1800,Verordnung|Einblattdruck,1529,155611,0.98
1700-1800,Brief,1282,155611,0.82
1700-1800,Monograph,1223,155611,0.79
1700-1800,Lied,1197,155611,0.77
1700-1800,Handschrift,1170,155611,0.75
1700-1800,Libretto,1146,155611,0.74
1700-1800,Leichenpredigt,1087,155611,0.7
1700-1800,Lyrik,1082,155611,0.7
1700-1800,Traktat,1065,155611,0.68
1700-1800,Amtsdruckschrift,970,155611,0.62
1700-1800,Einblattdruck|Verordnung,932,155611,0.6
1700-1800,Gelegenheitsschrift:Tod|Epikedeion,730,155611,0.47
1700-1800,Medizin,726,155611,0.47
1700-1800,Streitschrift:theol.,725,155611,0.47
1700-1800,Erbauungsliteratur,718,155611,0.46
1700-1800,Streitschrift:jur.,671,155611,0.43
1700-1800,mehrbändiges Werk,660,155611,0.42
1700-1800,Gelegenheitsschrift:Tod|Lyrik,619,155611,0.4
1700-1800,Roman,600,155611,0.39
1700-1800,Komödie,588,155611,0.38
1700-1800,Predigt,530,155611,0.34
1700-1800,Musik,526,155611,0.34
1700-1800,Streitschrift,461,155611,0.3
1700-1800,Gelegenheitsschrift:Hochzeit|Lyrik,458,155611,0.29
1700-1800,Flugschrift,434,155611,0.28
1700-1800,Schauspiel,409,155611,0.26
1700-1800,Amtsdruckschrift|Einblattdruck,398,155611,0.26
1700-1800,Epik,384,155611,0.25
1700-1800,Gesangbuch,323,155611,0.21
1700-1800,Predigtsammlung,319,155611,0.2
1700-1800,Drama,315,155611,0.2
1700-1800,Tragödie,296,155611,0.19
1700-1800,Rede,283,155611,0.18
1700-1800,Gelegenheitsschrift:Hochzeit,273,155611,0.18
1700-1800,book,272,155611,0.17
1700-1800,Fortlaufendes Sammelwerk,247,155611,0.16
1700-1800,Konsilium,238,155611,0.15
1700-1800,Kriegskunde,235,155611,0.15
1700-1800,Biographie,228,155611,0.15
1700-1800,Auktionskatalog,212,155611,0.14
1700-1800,Amtsdruckschrift|Verordnung,209,155611,0.13
1700-1800,Satire,207,155611,0.13
1700-1800,Epikedeion,201,155611,0.13
