obj_id,title,dc_type,dates,silver_tier,stratum,ddb_url,heuristic_class,notes,true_class
2A7OTSVT3NE4EUBVPUIJIXI2535RTT2G,Christlicher Leichsermon Uber die Wort auß der Offenbahrung Johann: am 7. v. 13. 14. 15. 16. 17. Es antwortet der Eltesten einer/ und sprach zu mir/ wer sind diese [et]c. : Bey Christlicher Leichbestattung Des Weyland Ehrenvesten und Wolgelarten Herrn Johann-Ernesti Adersbachs/ Welcher in der besten bluet seines Alters/ alß er 19. Jahr und 9. Monden zurück geleget/ am Tag Aller Heiligen den 1. Novembris lauffenden Jahrs in Christo seeliglich entschlaffen/ und folgends den 4. Novembr. mit Christlichen Ceremonien in sein Ruhebettlein ist beygesetzet worden,Leichenpredigt|Monografie,1632 - ,0,Leichenpredigt,https://ddb.de/item/2A7OTSVT3NE4EUBVPUIJIXI2535RTT2G,EARLY_MODERN_DE,"Early modern markers: ['', '', '']",
2DY5I3XAFOK2DGAMPRP2ZBFJ7DAPBXOE,"Hiobs Trost und Glaubens Bekäntniß : Von Ihm selbst beschrieben in seinem Buch am 19. Capit. V. 25. 26. 27. Und zu schuldigem Ehren-Gedächtniß Der Weyland Edlen und HochTugendreichen Frauen/ Fr. Dorotheen gebohrnen Töbings/ Des Edlen/ Ehrenvesten/ Großachtbahren/ und Hochweisen Herrn Johann von Dassels/ Vornehmen Geschlechter/ und Wolverdienten Burgermeisters der Stadt Lüneburg/ Ehelichen Hauß-Frauen/ Welche im Jahr nach Christi Geburth 1656, den 19 Martii des Nachts umb 1. Uhr sanfft und sehlig von dieser Welt geschieden/ und der Seelen nach ins Himlische Paradeiß versetzet/ ihr Leichnam aber am 27. Tage desselben Monats mit Christlichen Ceremonien/ bey grosser und Volckreicher Versamblung in der Kirchen St. Johannis/ in der von Dassel ansehnliches Erb-Begräbniß/ als in sein Schlaff-Kämmerlein ist beygesetzet worden/ Einfältig erklähret",Leichenpredigt|Monografie,1656 - ,1,Leichenpredigt,https://ddb.de/item/2DY5I3XAFOK2DGAMPRP2ZBFJ7DAPBXOE,EARLY_MODERN_DE,"Early modern markers: ['', '', '']",
VNK3TEI2PA4B352VTMY6ITM7L7IFG3QJ,Geist-Eifferige Sterbens-Lust. Des Ehrwürdigen/ Vorachtbaren und Wolgelahrten Hn. M. Pauli Werenbergers/ weiland wolverordneten und treufleißigen Diaconi der Kirchen zu Eylenburg : Am Tage seiner Beerdigung war der 14. Augusti des abgewichnen 1656ten Jahres bey ansehnlicher und Volckreicher Versammlung nach Anleitung der Wort Pauli Phil. 1. 23. erkläret/ ausgeführet und auff Begehren zum Druck auffgesetzet,Leichenpredigt|Monografie,1656 - ,0,Leichenpredigt,https://ddb.de/item/VNK3TEI2PA4B352VTMY6ITM7L7IFG3QJ,EARLY_MODERN_DE,"Early modern markers: ['', '', '']",
SN7XKXC63PQ36JOJWVA5MBPBSMNMJERY,"Fidelium In Morte Triumphus, Das ist: Derer Seelig Sterbenden Freud- und Ehren-Stand/ Aus dem Trostreichen Spruch des Apostels Pauli 2. Tim. 4. v. 7, 8. vorgetragen Bey Volckreicher Leichen-Begängnüß Der ... Frauen Euphrosynae, Deß ... Herrn Johan Tressel/ Fürstl. Sächs. Wohlverordneten Ampt-Schreibers zu Cräyenberg gewesenen hertzliebsten Hauß-Ehre : Als dieselbige dem 14ten Septemb. dieses 71sten Jahres/ ihren Lebens-Lauff wohl und seelig geendiget/ ihres Alters 65. Jahr/ 13 Wochen und 5 Tage; und folgends dem 17ten Septemb. Christlich zur Erden bestattet worden/ zu Tieffenort/ des Fürstl. Sächs. Ampts Cräynberg",Leichenpredigt|Monografie,1671,0,Leichenpredigt,https://ddb.de/item/SN7XKXC63PQ36JOJWVA5MBPBSMNMJERY,EARLY_MODERN_DE,"Early modern markers: ['Derer', '', '']",
3IXUX4D6XO25TWEPODWGZHPP4EX7LCQP,Die Von Gott Denen Gerechten zubereitete Ruhe/ Wurde Bey Hoch-Adlicher/ sehr Volckreicher und Hoch-Ansehnlicher Leichen-Bestattung Des Weyland Wohlgebohrnen Herren/ Hn. Friedrich Wilhelm von Panwitz/ Herrn auff Ober-Gäbersdorff/ Taubnitz/ Hummel und Neumühle/ Welcher Den 23. Martii 1708. nach einer kurtzen Niederlage an den Blattern in Ober-Gäbersdorff ... die Zeit mit der Ewigkeit/ zwar frühzeitig/ doch selig verwechselte/ Und hierauff Den 14. Junii in die zu Ober-Gäbersdorff gantz neu verfertigte ... Grufft ... beygesetzet ward/ Im Coßcauer Gottes-Hause/ aus Sap. c. 4. von 7. bis 14. vers. In gehaltener Leichen-Predigt Zwar einfältig/ doch Schrifftmäßig gewiesen/,Leichenpredigt|Monografie,1708,0,Leichenpredigt,https://ddb.de/item/3IXUX4D6XO25TWEPODWGZHPP4EX7LCQP,EARLY_MODERN_DE,"Early modern markers: ['', '', '']",
QR72XT2SQL6FRNJPR5RHBJ56FDB77WUP,"Die Um ihres rechtschaffenen Glaubens Hungers Willen von dem Herrn Jesu Selig gepriesene Evangelische Christ, Bei dem am 13ten Jenner dieses Jahres erfolgten seligen Abschied, Der ... Fräulein Catharina Hilaria von Schele, Aus dem Hochadel. Hause Kuhof, Eines Hochadelichen frei Weltlichen Stifts zur Lipstadt in die 64. Jahr höchst beliebt gewesenen Capitularin und aufs lezt Seniörin In einer Gedächtniß-Predigt Am 4. Sonntag Epiphaniä in öffentlicher Versamlung aus denen von Wohlseliger Fräulein vorgeschriebenen Textes-Worten: Matth. 5,6. ... Zur Christlichen Erbauung Betrachtet und vorgestellet von M. Johan Fridrich Kleinschmidt. Past. Capit. ad St. Mar. min.",Leichenpredigt|Monografie,1748,0,Leichenpredigt,https://ddb.de/item/QR72XT2SQL6FRNJPR5RHBJ56FDB77WUP,EARLY_MODERN_DE,"Early modern markers: ['', 'Herrn', '']",
F44JE4KAOK4G365JAEPX5D54UPMMUR2W,Trost und Ruhe der Seelen,Leichenpredigt|Monografie,1645 - ,0,Leichenpredigt,https://ddb.de/item/F44JE4KAOK4G365JAEPX5D54UPMMUR2W,OTHER,no historical signal,
7VKZADTEAH2NMYUGY3SYN5EMWNHLECAK,"Die hohe und heilige Gedanken Gottes bey dem frühzeitigen Abschiede der Gerechten, wurden nach dem Ableben des ... Herrn Alexander Heinrich von der Hagen, des ... Herrn Thomas Philipp von der Hagen, Königl. Preuß. hochbestallten Präsidenten des Ober-Consistorii, des Amts-Kirchen Revenüen und Armen-Directorii zu Berlin ... Erb- Lehns- und Gerichts-Herrn ... auf Hohennauen, Rhinow, Mühlenburg ... jüngsten geliebtesten Sohnes, welcher den 28ten May 1773 zu Berlin in die Ewigkeit gieng. In einer über Buch der Weisheit Cap. 4. v. 10. 11. 12. den 6ten Jun. gehaltenen Leichen- und Gedächtnißpredigt in Betrachtung gezogen ...",Leichenpredigt|Monografie,1773,0,Leichenpredigt,https://ddb.de/item/7VKZADTEAH2NMYUGY3SYN5EMWNHLECAK,EARLY_MODERN_DE,"Early modern markers: ['Gottes', '', '']",
5YQA3SYYXFYMFZUFEH2W6UJGWVCXYWY6,"Davidis Cordolium & Suspirium Das ist: Davids ängstliches Beschweren und hertzliches Begehren : Bey ... Beerdigung Des ... Herrn Christoph Arnold Schlütern/ Gewesenen Fürstlich. Hessisch-Schaumburgischen Procuratoris Fisci in Rintheln Sehl. Gedächtnüsse Welcher den 3. Tag Herbstm. dieses 1660. Jahrs ... entschlaffen/ und darauff den 7. eiusdem zur Jetenburg Christlich begraben und beygesetzet worden/ Auß dem XXV. Ps. v. 15,16,17,18. Einfältig erkläret ...",Leichenpredigt|Monografie,1660 - ,1,Leichenpredigt,https://ddb.de/item/5YQA3SYYXFYMFZUFEH2W6UJGWVCXYWY6,EARLY_MODERN_DE,"Early modern markers: ['', '', '']",
56XGMOOYW5WG7X3CGHUZQOTQKHMMMACY,"Grabmal mit dieser inscription: (1.) Lachrymas semino, (2.) seminando Considero, (3.) Considerando expecto, das ist/ Trähnende säe ich/ Säende bedenck ich/ und Bedenckende hoffe ich : Aus den Worten des 126. Psalms/ v. 5. 6: Die mit Thränen säen/ werden [et]c. Der ... Fr. Susannen Dorotheen/ gebornen Nesterin/ Des ... Herrn Philip Jacob Lindners Icti, des Raths und berümbten Advocatens alhier in Leipzig/ auch ... StadtRichters ... Hausfrawen/ Nachdem dieselbe in ihren Sechswochen am 19. May/ 1658. seelig verstorben/ Am Tage ihrer ... Sepultur, welches war der 24. Eiusdem, von ihrem ... Witber auffgerichtet Und in einem Leichen-Sermon vorgestellet",Leichenpredigt|Monografie,1658,1,Leichenpredigt,https://ddb.de/item/56XGMOOYW5WG7X3CGHUZQOTQKHMMMACY,EARLY_MODERN_DE,"Early modern markers: ['', 'Herrn', '']",
