path,value_types
aggregator-info,Literals(string)
aggregator-info.aggregator-collection,Literals(string)
aggregator-info.aggregator-ddb-id,Literals(string)
aggregator-info.aggregator-domains,
aggregator-info.aggregator-domains.aggregatorDomainList[],Literals(string)|URI
aggregator-info.aggregator-email,Literals(string)
aggregator-info.aggregator-europeana-id,Literals(string)
aggregator-info.aggregator-europeana-name,Literals(string)
aggregator-info.aggregator-facebook,Literals(string)
aggregator-info.aggregator-id,Literals(string)
aggregator-info.aggregator-isil,Literals(string)
aggregator-info.aggregator-item-id,Literals(string)
aggregator-info.aggregator-item-id-type,Literals(string)
aggregator-info.aggregator-latitude,Literals(string)
aggregator-info.aggregator-logo,URI
aggregator-info.aggregator-longitude,Literals(string)
aggregator-info.aggregator-name,Literals(string)
aggregator-info.aggregator-parent-id,Literals(string)
aggregator-info.aggregator-parents,Literals(string)
aggregator-info.aggregator-state,Literals(string)
aggregator-info.aggregator-twitter,Literals(string)
aggregator-info.aggregator-uri,URI
binaries,
binaries.binary,Literals(string)
binaries.binary[].kind,URI
binaries.binary[].license_group,Literals(string)
binaries.binary[].local_pathname,Literals(string)|URI
binaries.binary[].mimetype,Literals(string)
binaries.binary[].name,Literals(string)
binaries.binary[].name2,Literals(string)
binaries.binary[].name3,Literals(string)
binaries.binary[].position,Literals(numeric)
binaries.binary[].primary,Literals(string)
binaries.binary[].ref,Literals(string)
ddbObject,Literals(string)
ddbObject.abstractOfHolding[],
ddbObject.abstract[],
ddbObject.accessRestriction[],
ddbObject.agent[],
ddbObject.aggregatorInfo,Literals(string)
ddbObject.appreciation[],
ddbObject.bibliographicCitation[],
ddbObject.binaries,Literals(string)
ddbObject.category,
ddbObject.category.standardised,
ddbObject.category[].detail,Literals(string)
ddbObject.category[].hierarchyType,Literals(string)
ddbObject.category[].lang,Literals(string)
ddbObject.category[].literal[],
ddbObject.category[].machineGenerated,Literals(string)
ddbObject.category[].standardised[].href,Literals(string)
ddbObject.category[].standardised[].import,Literals(string)
ddbObject.category[].standardised[].lang,Literals(string)
ddbObject.category[].standardised[].relationType,Literals(string)
ddbObject.category[].standardised[].resource,Literals(string)
ddbObject.category[].standardised[].translated,Literals(string)
ddbObject.category[].standardised[].type,Literals(string)
ddbObject.category[].standardised[].typeUri,Literals(string)
ddbObject.category[].standardised[].value,Literals(string)
ddbObject.category[].synonym[],
ddbObject.category[].translated,Literals(string)
ddbObject.category[].type,Literals(string)
ddbObject.category[].typeAgent,Literals(string)
ddbObject.category[].typeUri,Literals(string)
ddbObject.circulation,Literals(string)
ddbObject.classification[],
ddbObject.collection[],
ddbObject.condition[],
ddbObject.containsNote[],
ddbObject.context[],
ddbObject.contributor[],
ddbObject.creationDate[],
ddbObject.creator[],
ddbObject.culturalAttribution[],
ddbObject.description[],
ddbObject.digitalObjectAtArchive[],
ddbObject.durationDate[],
ddbObject.durationOfHoldingDate[],
ddbObject.edition,Literals(string)
ddbObject.event[],
ddbObject.extent,Literals(string)
ddbObject.formalDescription[],
ddbObject.furtherInformation[],
ddbObject.holdingOnline[],
ddbObject.holding[],
ddbObject.identifier,
ddbObject.identifier.archivalReferenceNumber[],
ddbObject.identifier.detail,Literals(string)
ddbObject.identifier.doi[],
ddbObject.identifier.formerReferenceNumber[],
ddbObject.identifier.handle[],
ddbObject.identifier.hierarchyType,Literals(string)
ddbObject.identifier.holdingReferenceNumber[],
ddbObject.identifier.identifierLIDO[],
ddbObject.identifier.inventoryNumber[],
ddbObject.identifier.isbn[],
ddbObject.identifier.issn[],
ddbObject.identifier.lang,Literals(string)
ddbObject.identifier.machineGenerated,Literals(string)
ddbObject.identifier.objectID,
ddbObject.identifier.objectID.href,Literals(string)
ddbObject.identifier.objectID.import,Literals(string)
ddbObject.identifier.objectID.lang,Literals(string)
ddbObject.identifier.objectID.relationType,Literals(string)
ddbObject.identifier.objectID.resource,Literals(string)
ddbObject.identifier.objectID.translated,Literals(string)
ddbObject.identifier.objectID.type,Literals(string)
ddbObject.identifier.objectID.typeUri,Literals(string)
ddbObject.identifier.objectID.value,Literals(string)
ddbObject.identifier.otherNumber[],
ddbObject.identifier.purl[],
ddbObject.identifier.referenceNumber[],
ddbObject.identifier.translated,Literals(string)
ddbObject.identifier.type,Literals(string)
ddbObject.identifier.typeAgent,Literals(string)
ddbObject.identifier.typeUri,Literals(string)
ddbObject.identifier.urn[],
ddbObject.identifier.vd16[],
ddbObject.identifier.vd17[],
ddbObject.identifier.vd18[],
ddbObject.inscriptions[],
ddbObject.language[],
ddbObject.legalStatus[],
ddbObject.lettering[],
ddbObject.linkToCatalogueOPAC[],
ddbObject.location,Literals(string)
ddbObject.materialsTechniques[],
ddbObject.measurements[],
ddbObject.mediaType,
ddbObject.mediaType.detail,Literals(string)
ddbObject.mediaType.hierarchyType,Literals(string)
ddbObject.mediaType.lang,Literals(string)
ddbObject.mediaType.literal,
ddbObject.mediaType.literal[].href,Literals(string)
ddbObject.mediaType.literal[].import,Literals(string)
ddbObject.mediaType.literal[].lang,Literals(string)
ddbObject.mediaType.literal[].relationType,Literals(string)
ddbObject.mediaType.literal[].resource,Literals(string)
ddbObject.mediaType.literal[].translated,Literals(string)
ddbObject.mediaType.literal[].type,Literals(string)
ddbObject.mediaType.literal[].typeUri,Literals(string)
ddbObject.mediaType.literal[].value,Literals(string)
ddbObject.mediaType.machineGenerated,Literals(string)
ddbObject.mediaType.standardised[],
ddbObject.mediaType.synonym[],
ddbObject.mediaType.translated,Literals(string)
ddbObject.mediaType.type,Literals(string)
ddbObject.mediaType.typeAgent,Literals(string)
ddbObject.mediaType.typeUri,Literals(string)
ddbObject.metadataRights,Literals(string)
ddbObject.monumentType[],
ddbObject.notes[],
ddbObject.objectGenre[],
ddbObject.objectType[],
ddbObject.objectViewDataprovider,Literals(string)
ddbObject.origin[],
ddbObject.otherRights[],
ddbObject.otherTitles,Literals(string)
ddbObject.preProvenance[],
ddbObject.project[],
ddbObject.properties,Literals(string)
ddbObject.provenances[],
ddbObject.providerInfo,Literals(string)
ddbObject.publicationDate[],
ddbObject.publisher[],
ddbObject.ranking,Literals(string)
ddbObject.relatedLiterature[],
ddbObject.relatedObjectAndLiterature[],
ddbObject.relatedObject[],
ddbObject.relatedWork[],
ddbObject.rightsInformations[],
ddbObject.secondaryLiterature[],
ddbObject.series[],
ddbObject.significanceIndigenousContext[],
ddbObject.sourceRecord,Literals(string)
ddbObject.sources[],
ddbObject.sponsorship[],
ddbObject.subjectEvent[],
ddbObject.subjectWhat[],
ddbObject.subjectWhen[],
ddbObject.subjectWhere[],
ddbObject.subjectWho[],
ddbObject.subject[],
ddbObject.tableOfContent[],
ddbObject.title,
ddbObject.title[].href,Literals(string)
ddbObject.title[].import,Literals(string)
ddbObject.title[].lang,Literals(string)
ddbObject.title[].relationType,Literals(string)
ddbObject.title[].resource,Literals(string)
ddbObject.title[].translated,Literals(string)
ddbObject.title[].type,Literals(string)
ddbObject.title[].typeUri,Literals(string)
ddbObject.title[].value,Literals(string)
ddbObject.type,Literals(string)
ddbObject.typePortal[],
ddbObject.verified,Literals(string)
edm,
edm.RDF,
edm.RDF.Address,Literals(string)
edm.RDF.Agent,
edm.RDF.Agent.isPartOf,
edm.RDF.Agent.prefLabel,
edm.RDF.Agent.type,
edm.RDF.Agent.wasPresentAt,
edm.RDF.Agent[].about,Literals(string)|URI
edm.RDF.Agent[].altLabel,Literals(string)
edm.RDF.Agent[].begin,Literals(string)
edm.RDF.Agent[].biographicalInformation,Literals(string)
edm.RDF.Agent[].date,Literals(string)
edm.RDF.Agent[].dateOfBirth,Literals(string)
edm.RDF.Agent[].dateOfDeath,Literals(string)
edm.RDF.Agent[].dateOfEstablishment,Literals(string)
edm.RDF.Agent[].dateOfTermination,Literals(string)
edm.RDF.Agent[].end,Literals(string)
edm.RDF.Agent[].gender,Literals(string)
edm.RDF.Agent[].hasMet,Literals(string)
edm.RDF.Agent[].hasPart,Literals(string)
edm.RDF.Agent[].identifier,Literals(string)
edm.RDF.Agent[].isPartOf,Literals(string)
edm.RDF.Agent[].isPartOf[].$,Literals(string)
edm.RDF.Agent[].isPartOf[].lang,Literals(string)
edm.RDF.Agent[].isPartOf[].resource,URI
edm.RDF.Agent[].isRelatedTo,Literals(string)
edm.RDF.Agent[].name,Literals(string)
edm.RDF.Agent[].note,Literals(string)
edm.RDF.Agent[].placeOfBirth,Literals(string)
edm.RDF.Agent[].placeOfDeath,Literals(string)
edm.RDF.Agent[].prefLabel[].$,Literals(string)
edm.RDF.Agent[].prefLabel[].lang,Literals(string)
edm.RDF.Agent[].professionOrOccupation,Literals(string)
edm.RDF.Agent[].sameAs,Literals(string)
edm.RDF.Agent[].type,Literals(string)
edm.RDF.Agent[].type.$,Literals(string)
edm.RDF.Agent[].type.resource,URI
edm.RDF.Agent[].wasPresentAt,Literals(string)
edm.RDF.Agent[].wasPresentAt.$,Literals(string)
edm.RDF.Agent[].wasPresentAt.resource,Literals(string)
edm.RDF.Aggregation,
edm.RDF.Aggregation.about,Literals(string)|URI
edm.RDF.Aggregation.aggregatedCHO,
edm.RDF.Aggregation.aggregatedCHO.$,Literals(string)
edm.RDF.Aggregation.aggregatedCHO.lang,Literals(string)
edm.RDF.Aggregation.aggregatedCHO.resource,URI
edm.RDF.Aggregation.aggregator,Literals(string)
edm.RDF.Aggregation.aggregator.$,Literals(string)
edm.RDF.Aggregation.aggregator.lang,Literals(string)
edm.RDF.Aggregation.aggregator.resource,URI
edm.RDF.Aggregation.dataProvider,
edm.RDF.Aggregation.dataProvider[].$,Literals(string)
edm.RDF.Aggregation.dataProvider[].lang,Literals(string)
edm.RDF.Aggregation.dataProvider[].resource,Literals(string)|URI
edm.RDF.Aggregation.dcTermsRights,Literals(string)
edm.RDF.Aggregation.dcTermsRights.$,Literals(string)
edm.RDF.Aggregation.dcTermsRights.lang,Literals(string)
edm.RDF.Aggregation.dcTermsRights.resource,URI
edm.RDF.Aggregation.edmRights,Literals(string)
edm.RDF.Aggregation.edmRights.$,Literals(string)
edm.RDF.Aggregation.edmRights.lang,Literals(string)
edm.RDF.Aggregation.edmRights.resource,URI
edm.RDF.Aggregation.hasView,Literals(string)
edm.RDF.Aggregation.hasView[].$,Literals(string)
edm.RDF.Aggregation.hasView[].resource,Literals(string)|URI
edm.RDF.Aggregation.isShownAt,
edm.RDF.Aggregation.isShownAt.$,Literals(string)
edm.RDF.Aggregation.isShownAt.lang,Literals(string)
edm.RDF.Aggregation.isShownAt.resource,Literals(string)|URI
edm.RDF.Aggregation.isShownBy,Literals(string)
edm.RDF.Aggregation.isShownBy.$,Literals(string)
edm.RDF.Aggregation.isShownBy.lang,Literals(string)
edm.RDF.Aggregation.isShownBy.resource,Literals(string)|URI
edm.RDF.Aggregation.object,Literals(string)
edm.RDF.Aggregation.object.$,Literals(string)
edm.RDF.Aggregation.object.lang,Literals(string)
edm.RDF.Aggregation.object.resource,Literals(string)|URI
edm.RDF.Aggregation.provider,Literals(string)
edm.RDF.Concept,
edm.RDF.Concept.prefLabel,
edm.RDF.Concept[].about,Literals(string)|URI
edm.RDF.Concept[].notation,Literals(string)
edm.RDF.Concept[].prefLabel,Literals(string)
edm.RDF.Concept[].prefLabel.$,Literals(string)
edm.RDF.Concept[].prefLabel.lang,Literals(string)
edm.RDF.Concept[].prefLabel.resource,Literals(string)
edm.RDF.Event,Literals(string)
edm.RDF.Event.P11_had_participant,
edm.RDF.Event.happenedAt,
edm.RDF.Event.hasType,
edm.RDF.Event.occuredAt,
edm.RDF.Event[].P11_had_participant,Literals(string)
edm.RDF.Event[].P11_had_participant[].$,Literals(string)
edm.RDF.Event[].P11_had_participant[].lang,Literals(string)
edm.RDF.Event[].P11_had_participant[].resource,Literals(string)|URI
